reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
c2d9ee6d-698c-4ba2-b91e-b9cab7c66bb6,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good i am satisfied with the app and I will recommend it ☺️☺️☺️ I,5,0,25.47.2,2025-12-30 02:38:56,,,25.47.2
41b600bd-8917-4f13-a65f-c1ccabca1681,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5,0,,2025-12-30 01:39:57,,,
d6e6dc50-bfbb-464e-aaec-f96fc9325848,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,An app which do nothing when needed.,1,0,25.48.1,2025-12-30 01:28:37,,,25.48.1
1d3ad33c-44b7-4dde-b344-6d5d73415bd7,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Foodpanda makes food ordering hassle-free. The app is fast and shows clear delivery updates. Good variety of restaurants available.,5,0,25.47.2,2025-12-30 01:18:16,,,25.47.2
38aed13d-a383-4581-8aab-e450ef651d9c,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good 👍,5,0,25.49.2,2025-12-30 00:28:46,,,25.49.2
16d0e84e-f497-4349-8ebe-65f8c6540ba4,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,hell nah,4,0,25.48.1,2025-12-30 00:11:10,,,25.48.1
f5c009dd-b7e5-432c-a614-5787be16c4bf,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"I love this app! Though, I would recommend to add a flash warning to some of your ads :)",5,0,25.47.2,2025-12-29 23:39:32,,,25.47.2
28614ac6-de23-4a17-977c-d0b45d076b0a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,g bilul acha tarika ha jnabe logo ke hedmet Karna k bohte achi app ha food panda,5,0,25.47.2,2025-12-29 22:53:52,,,25.47.2
0cbeee32-6e31-4008-a042-88e944a4a41a,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Worst experience, I have unsubscribed from annual package and foodpanda is still attempting to charge for a renewal. Despite unchecking the option of auto renewal that is due in coming 3 days!",1,0,25.48.1,2025-12-29 22:35:14,,,25.48.1
8f785beb-a6d7-42c8-a93c-d040bac4a6c8,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Really disappointed with Foodpanda’s customer support. I ordered a 3-pin travel adaptor (Order #XVPP-2601-POII) but received a 2-pin standard adaptor. After filing a complaint and sharing clear photos, the support agent still insisted I received the correct item. The problem remains unresolved, and I’m left with something I didn’t order and can’t use. Mistakes happen but ignoring proof and refusing to help customers is not okay. I hope Foodpanda improves its support process and resolves properly",1,0,25.48.1,2025-12-29 21:54:43,,,25.48.1
